Wall time,Step,Value
1702404032.6786633,187100,42.95160675048828
1702404058.3814845,188650,41.93526077270508
1702404064.72347,189050,43.32657241821289
1702404075.366332,189700,43.653289794921875
1702404079.6365683,189950,43.53160858154297
1702404093.754511,190750,43.835079193115234
1702404098.2879417,191000,44.00059127807617
1702404100.0492973,191100,44.1123161315918
1702404108.9134924,191600,43.9229621887207
1702404112.6738768,191800,43.85420227050781
1702404137.2515035,193250,43.62068176269531
1702404146.622876,193850,43.6325569152832
1702404187.2014353,196450,40.4403190612793
1702404192.806395,196800,39.52571105957031
1702404195.995595,197000,41.61308288574219
1702404205.0294042,197550,43.581424713134766
1702404210.286098,197850,43.45304489135742
1702404215.0496564,198150,42.61505889892578
1702404232.143231,199250,42.86436080932617
1702404244.8209372,200050,42.63323211669922
1702404251.8744528,200500,43.28329849243164
1702404252.6343834,200550,43.329734802246094
1702404262.1119342,201150,43.50527572631836
1702404271.390206,201700,42.882442474365234
1702404273.8560688,201850,43.06117248535156
1702404319.3797388,204700,43.98133850097656
1702404323.3164387,204950,44.15576934814453
1702404324.1636288,205000,44.238990783691406
1702404331.9993663,205500,40.55206298828125
1702404389.5857143,209150,42.79787826538086
1702404398.0601356,209700,42.58213806152344
1702404398.8540952,209750,41.55893325805664
1702404400.4272373,209850,41.24437713623047
1702404404.309178,210100,42.02120590209961
1702404405.1050293,210150,42.22615051269531
1702404424.7149706,211400,42.31753158569336
1702404428.2689552,211650,43.24040985107422
1702404430.395108,211800,43.397560119628906
1702404436.461428,212200,44.24911880493164
1702404451.758681,213200,45.36494445800781
1702404454.1236274,213350,45.40652847290039
1702404454.9280183,213400,44.97056198120117
1702404466.3919487,214150,43.33470153808594
1702404478.5559084,214950,44.249027252197266
1702404483.1196172,215250,44.289466857910156
1702404492.9566243,215900,43.331825256347656
1702404494.4456842,216000,43.17041778564453
1702404504.3292396,216650,35.881710052490234
1702404512.7983627,217200,37.60075759887695
1702404533.292817,218500,34.20526885986328
1702404540.812393,218950,38.88862228393555
1702404553.2303493,219700,23.973892211914062
1702404559.0556624,220050,34.857879638671875
1702404563.8621864,220350,38.903900146484375
1702404567.324991,220550,36.181419372558594
1702404583.9442027,221550,35.04719543457031
1702404586.4044242,221700,37.49686813354492
1702404620.3476725,223800,37.40662384033203
1702404633.4037116,224650,40.23688888549805
1702404646.1358287,225500,41.293922424316406
1702404646.9446092,225550,43.0295524597168
1702404662.438203,226550,44.71528625488281
1702404664.570987,226700,44.39976501464844
1702404671.0736709,227150,44.98272705078125
1702404679.1412258,227700,45.05696105957031
1702404697.664862,228950,28.915760040283203
1702404699.8892236,229100,34.14201736450195
1702404709.9360373,229800,3.7243964672088623
1702404711.4132905,229900,2.7450485229492188
1702404712.9576435,230000,3.3752827644348145
1702404734.6027489,231450,31.09083366394043
1702404755.4382265,232850,39.02975845336914
1702404761.3968039,233250,39.51600646972656
1702404764.278234,233450,40.902984619140625
1702404770.0907423,233850,37.67210388183594
1702404778.1180654,234400,12.783135414123535
1702404797.4521604,235700,30.82390785217285
1702404801.132604,235950,39.95602798461914
1702404813.070882,236750,42.28696823120117
1702404824.9315662,237550,39.07386779785156
1702404830.977482,237950,36.07588577270508
1702404837.7027702,238400,26.428565979003906
1702404844.9098601,238850,24.559898376464844
1702404853.4463606,239400,27.199440002441406
1702404854.1865404,239450,27.670150756835938
1702404858.9342709,239750,34.27940368652344
1702404864.1310925,240050,38.61000442504883
1702404865.7765987,240150,37.405357360839844
1702404868.2731595,240300,35.01399612426758
1702404897.368695,242050,23.831071853637695
1702404907.2758913,242650,38.83868408203125
1702404921.7463837,243600,36.00031661987305
1702404939.427404,244750,39.67638397216797
1702404954.5885727,245750,30.55559730529785
1702404972.49101,246950,28.798816680908203
1702404984.8127477,247750,33.199859619140625
1702404990.7940505,248150,36.04489517211914
1702404997.6244514,248600,37.66405487060547
1702404999.9036415,248750,37.963802337646484
1702405001.3976374,248850,38.258060455322266
1702405041.0174384,251400,41.146881103515625
1702405043.2716577,251550,40.94962692260742
1702405058.2790816,252550,41.29043960571289
1702405059.8117578,252650,38.96654510498047
1702405060.6551309,252700,38.85557556152344
1702405065.8309798,253050,38.82749557495117
1702405079.2636886,253950,41.097999572753906
1702405102.0529737,255350,41.25590896606445
1702405119.0100448,256350,40.95151138305664
1702405120.648351,256450,41.42147445678711
1702405125.6147194,256750,42.18677520751953
1702405144.3115637,258050,41.71088790893555
1702405147.9227972,258300,41.692588806152344
1702405160.2201853,259150,39.953895568847656
1702405174.386444,260050,41.0027961730957
1702405180.4991064,260450,36.19858169555664
1702405204.6604683,262000,40.473350524902344
1702405225.354237,263350,33.09638214111328
1702405243.0405953,264500,28.729251861572266
1702405265.7658126,265950,32.980892181396484
1702405274.6923716,266500,39.44554138183594
1702405286.6244068,267300,39.010040283203125
1702405297.052852,268000,41.91465377807617
1702405312.9438448,269050,40.83834457397461
1702405343.0440102,271050,39.469200134277344
1702405359.496228,272150,41.03339385986328
1702405363.2653975,272400,40.11341094970703
1702405391.36832,274250,41.52383804321289
1702405399.655599,274800,41.9800910949707
1702405404.4076502,275100,42.51142120361328
1702405415.3760066,275800,43.003440856933594
1702405416.9540365,275900,42.957027435302734
1702405440.3899364,277500,39.6318473815918
1702405458.381123,278700,37.52931594848633
1702405467.2965167,279300,37.484127044677734
1702405468.8058674,279400,39.597049713134766
1702405473.2062302,279700,33.17316436767578
1702405482.2779922,280300,43.458106994628906
1702405500.8759298,281550,38.165374755859375
1702405521.6473153,282950,26.290681838989258
1702405523.0856402,283050,28.48546600341797
1702405526.0182476,283250,28.891237258911133
1702405537.0629108,284000,38.8632698059082
1702405567.8298514,286050,44.052940368652344
1702405570.2852795,286200,43.30976486206055
1702405584.1530988,287100,42.271968841552734
1702405598.4415503,288000,37.4822883605957
1702405611.126378,288850,19.85663414001465
1702405613.3376594,289000,9.314813613891602
1702405620.784947,289500,-25.18927001953125
1702405634.3701487,290400,37.269439697265625
1702405635.1063056,290450,36.181461334228516
1702405648.2524836,291300,36.78770065307617
1702405650.4773335,291450,30.14305877685547
1702405676.7599454,293150,39.7503776550293
1702405678.2025561,293250,39.905948638916016
1702405683.4949322,293600,40.17171859741211
1702405703.669697,294950,36.55815124511719
1702405710.9380817,295400,38.21660614013672
1702405727.1883502,296450,39.763832092285156
1702405745.2375062,297650,40.28077697753906
1702405748.9150012,297900,40.249595642089844
1702405753.30683,298200,40.33018112182617
1702405773.9089613,299550,39.89899826049805
1702405788.9232564,300550,40.49345016479492
1702405792.6181433,300800,40.45452117919922
1702405803.9647489,301550,40.217613220214844
1702405807.5750763,301800,40.18860626220703
1702405826.195676,303050,40.064353942871094
1702405840.5157077,303950,40.2794075012207
1702405843.4875329,304150,40.31903076171875
1702405847.1417065,304400,40.33768081665039
1702405858.9020922,305200,41.164756774902344
1702405860.3484166,305300,41.173038482666016
1702405872.060971,306100,41.78762435913086
1702405873.5137787,306200,41.677608489990234
1702405877.9413898,306500,41.279205322265625
1702405879.4423575,306600,41.24629211425781
1702405880.923859,306700,41.243385314941406
1702405889.8165078,307300,41.832061767578125
1702405892.7373452,307500,41.915130615234375
1702405910.0092287,308650,42.05944061279297
1702405916.6226416,309100,41.576904296875
1702405931.171311,310050,42.79416275024414
1702405939.2020838,310600,42.09342956542969
1702405940.7581468,310700,42.18182373046875
1702405945.296563,311000,42.403076171875
1702405954.9864612,311650,42.511695861816406
1702405968.04609,312550,39.99330139160156
1702405996.7770095,314500,37.466224670410156
1702406013.9511528,315650,41.47700119018555
1702406016.7910411,315850,41.37718963623047
1702406017.527026,315900,41.240028381347656
1702406022.7006164,316250,41.089473724365234
1702406035.39589,317100,41.104915618896484
1702406043.3754535,317650,40.671234130859375
1702406051.4644196,318200,42.944732666015625
1702406056.5148404,318550,43.88531494140625
1702406060.9215643,318850,44.07387161254883
1702406078.890032,320050,43.033546447753906
1702406119.8184056,322800,24.3269100189209
1702406122.791232,323000,23.485315322875977
1702406133.313397,323650,23.747461318969727
1702406152.2585168,324800,-49.9237060546875
1702406153.0617037,324850,-43.915550231933594
1702406156.2788112,325050,-9.33761215209961
1702406171.792126,326050,26.654911041259766
1702406172.5910258,326100,25.678695678710938
1702406173.3831847,326150,25.83588981628418
1702406180.7128267,326550,34.15876770019531
1702406198.521287,327550,36.04169464111328
1702406218.888255,328750,34.827178955078125
1702406224.7967756,329100,34.742759704589844
1702406227.500041,329250,35.27303695678711
1702406243.3740873,330200,35.553565979003906
1702406255.0877566,330850,35.486480712890625
1702406291.9230888,332900,34.91655731201172
1702406299.6168523,333350,35.83358383178711
1702406301.3546996,333450,35.81494140625
1702406304.8092399,333650,35.88674545288086
